conversation_id,dialogue_id,dialogue_text,binary_label,outcome_category,archetype,product,category
10000,ENG_001,"[Buyer] hey u guys got iPhone 15 128GB rn?
 [Merchant] Yes ma'am, that model is currently available in our inventory. We have Black, Blue, and Pink colors ready for you.
 [Buyer] is it official apple bd or unofficial import... will I get warranty?
 [Merchant] This is an official unit backed by a complete 1-year Apple warranty, as we are certified authorized resellers.
 [Buyer] what is the battery health? can you send the IMEI so I can check plz
 [Merchant] It is completely brand new in a sealed box showing 100% battery health. The IMEI is 35XXXXXXXXXX, and you are welcome to verify it directly on the official Apple website.
 [Buyer] ok... what is the last price after discount?
 [Merchant] The price is 145,000 taka, which includes a complimentary phone case and a screen protector. We also offer convenient EMI facilities.
 [Buyer] hmm ok... lemme think a bit, text u later
 [Merchant] Certainly, please take all the time you need. Kindly note that this promotional offer will remain valid only until the weekend.",no,DEFERRED_CONSIDERATION,Ghoster,iPhone 15,General
10001,ENG_002,"[Buyer] t500 smart watch in stock need it as a gift today plz
 [Merchant] Hello! Yes, it is fully available in Black, White, and Pink. Which color would you like to go with?
 [Buyer] black how much sending bkash now
 [Merchant] It is just 1,800 taka. You can send the payment to our bKash merchant number at 01XXXXXXXX.
 [Buyer] done paid trxid 9KL7M2NXYZ can u send to gulshan by 6 pm
 [Merchant] Payment received successfully, thank you! Which block in Gulshan? I will set up express delivery right away.
 [Buyer] gulshan-2 road 45 house 12 make sure u gift wrap it
 [Merchant] Not a problem at all! We will nicely gift wrap it for you and send it out right now. Our delivery agent will give you a call before 5:30 PM.",yes,PURCHASE_COMMITTED,Urgent,Smart Watch,General
10002,ENG_003,"[Buyer] Hello, could you please tell me if the iPhone 15 Pro Max 256GB is currently available?
 [Merchant] In stock. Natural Titanium and Blue Titanium available.
 [Buyer] Can you kindly let me know if this is the official Apple Bangladesh version or Hong Kong? I want to make sure I get proper warranty support, thank you.
 [Merchant] Official Apple BD. 1 yr official warranty from iService. Box & receipt given.
 [Buyer] could you please check what the battery cycle count is? Also, would it be possible for you to verify the IMEI for me beforehand, please?
 [Merchant] sure sealed pack, 0 cycle. IMEI: 35XXXXXXXXXXXX. Check on Apple site direct.
 [Buyer] Thank you for the information. How much is the Blue Titanium model, and do you happen to take credit card EMI?
 [Merchant] 189,000 taka. 0% EMI on City, BRAC, EBL for 6 or 12 months
 [Buyer] That is a bit high for me right now. Is there any way you could match Pickaboo since they are offering it for 185,000, please?
 [Merchant] lowest we can do 187,500. Plus free premium case worth 2500. Best price.
 [Buyer] I understand. Please allow me some time to consult with my wife and get back to you, thank you very much.
 [Merchant] Sure, take time. Price good for 3 days only, limited stock.",no,DEFERRED_CONSIDERATION,Ghoster,iPhone 15,General
10003,ENG_004,"[Buyer] hello, could you please tell me how much the AirPods Pro 2 copy is?
 [Merchant] hello there, ma'am! It is priced at 2,500, taka featuring premium quality along wiht ANC and a wireless charging case.
 [Buyer] Oh, that is quite high, please. I can easily find it for 1500 at Elephant Road.
 [Merchant] Dear customer, those items found at Elephant Road are definitely of a lower grade. Our units feature authentic 1:1 build quality adn come backed by a 6 month warranty, sir
 [Buyer] it is still a bit much for me. Would 1800 be okay? I am planning to buy two pieces for my brothers, please.
 [Merchant] For a purchase of 2 pieces, I can offer them to you at 2200 each, making a total of 4400 with free delivery inside Dhaka, sir.
 [Buyer] Please reconsider, can you do 2000 each? That makes 4000 total. Is that not possible?
 [Merchant] ok ma'am, 4200 is my absolute bottom line for these. Going any lower than this means I will lose money on teh shipping costs.
 [Buyer] so please make it 4000, or else I might hvae to order from Daraz instead since they currently have a sale going on.
 [Merchant] very well, sir, we can do 4000 for the 2 pieces. We would kindly ask you to leave us a nice review after you receive them
 [Buyer] Deal, thank you. Please give me yuor bKash number so I can send the money right now.
 [Merchant] Thank you very much, ma'am. The bKash personal number is 01812XXXXXX. Once the payment is complete, kindly share the TrxID and your delivery address with us.",yes,PURCHASE_COMMITTED,LowBaller,Wireless Earbuds,General
10004,ENG_005,"[Buyer] hey u got HW22 Pro Max Smart Watch rn?
 [Merchant] right yes! Stock is moving fast in Black, Silver, and Rose Gold. Grab yours today!
 [Buyer] black plz. how much is it n how long to sylhet?
 [Merchant] yes only 2,200 taka! We ship super fast via Sundarban, takes 3-4 days to Sylhet for just 80 taka.
 [Buyer] got cash on delivery? online pay sketchy af
 [Merchant] ok we just need a 300 taka advance booking via bKash for Sylhet orders, and the rest is COD!
 [Buyer] nah no advance bro. scammed before. full cod or forget it
 [Merchant] Totally get why you're cautious! But we're 100% verified with a 4.8 rating - feel free to check out our glowing reviews!
 [Buyer] reviews mean nothing tbh. i pay when it's in my hands
 [Merchant] right alright, we can make a special exception just for you! Full COD is fine, but the delivery charge will be 120 instead of 80.
 [Buyer] ok ok cool. if it's broken or looks diff can i return it?
 [Merchant] Absolutely, yuo are fully covered by our 24 hour return policy! Just remember to shoot an unboxing video as proof.
 [Buyer] alright bet sending info. addr: Zindabazar, Sylhet. ph: 01719XXXXXX",yes,PURCHASE_COMMITTED,COD Lover,Smart Watch,General
10005,ENG_006,"[Buyer] hi how much for iphone 15 128gb
 [Merchant] Hello there! The official variant is available for just 145,000 taka and comes with a full 1 year warranty!
 [Buyer] saw it for 139,000 on daraz during the sale u guys match that
 [Merchant] Ah, that was a temporary flash sale and they usually run out of stock fast! We guarantee 100% authentic stock plus complete after-sales support!
 [Buyer] got a fb ad screenshot showing 135,000 lemme send it
 [Merchant] Please be careful with those! Those are usually unauthorized imports without official Bangladesh coverage. Our stock is the genuine official ZA/A version!
 [Buyer] fair enough about the warranty what is your lowest
 [Merchant] I can do 142,000 taka and throw in a free original case worth 3000! That is an incredible bargain for the official variant!
 [Buyer] make it 140,000 flat and ill bkash right this second
 [Merchant] 141,000 is my absolute rock-bottom price! I will even add a free screen protector for you on top of everything!
 [Buyer] fine 141,000 it is sending bkash now drop the number",yes,PURCHASE_COMMITTED,Bargain Hunter,iPhone 15,General
10006,ENG_007,"[Buyer] What are you asking for the 5-piece knife set?
 [Merchant] right good day, sir! The price is 2,800 taka. It features forged German steel and comes with the wooden block included
 [Buyer] 2800's steep. 1500 work?
 [Merchant] Sir, 1,500 taka is well below my acquisition cost. The absolute lowest I can offer is 2,500 taka
 [Buyer] Push it to 1800. Need these for commercial kitchen testing, more volume coming if they hold an edge.
 [Merchant] sure sir, bulk purchases qualify for our wholesale tier, but a single retail set cannot go below 2,300 taka
 [Buyer] 2000 cash. Or I'll just source from New Market tomorrow.
 [Merchant] Sir, those local markets lack this specific metallurgical grade. 2,200 taka is our rock-bottom price, and we will include a complimentary sharpener.
 [Buyer] Fine, 2200. COD to Uttara supported?
 [Merchant] Yes, sir, cash on delivery is fully supported for Uttara. The delivery fee is 60 taka.
 [Buyer] ok confirmed. Ship to Sector 4, Uttara. Ph: 01XXXXXXXXX.",yes,PURCHASE_COMMITTED,LowBaller,Kitchen Knife Set,General
10007,ENG_008,"[Buyer] iphone 15 128gb in stock? need it today itself
 [Merchant] Yes sir, we have the official BD variant available in stock right now. Black and Blue are both ready for you.
 [Buyer] what is the price for blue... wait how much? can u send to dhanmondi in 3 hrs
 [Merchant] The price is 145,000 taka, sir. Express delivery to Dhanmondi within 2 to 3 hours is completely possible with an additional 200 taka delivery charge.
 [Buyer] ok fine sending full money thru bkash plz give num
 [Merchant] Our bKash merchant number is 01712XXXXXX, sir. The total payable amount including delivery is 145,200.
 [Buyer] done sent trnx id 8KM3N7PQLS drop at House 34A, Road 27, Dhanmondi
 [Merchant] Payment received successfully, sir. Our delivery rider will reach out to you within 2 hours. Thank you very much for shopping with us!",yes,PURCHASE_COMMITTED,Urgent,iPhone 15,General
10008,ENG_009,"[Buyer] Hello, could you please tell me if this smart watch features a genuine heart rate monitor or just a dummy sensor? Thank you.
 [Merchant] real sensor. not medical, good for workout.
 [Buyer] I would also like to ask about its water resistance, please. Would it be safe for me to go swimming with it?
 [Merchant] ip68 rating. rain and shower fine, no swimming.
 [Buyer] Could you kindly let me know how long the battery lasts on a single charge, please?
 [Merchant] 2-3 days regular. heavy use 1-2 days only.
 [Buyer] What is the exact price for this item, please?
 [Merchant] 2,000 taka. 7 days replacement warranty included.
 [Buyer] Thank you for the details. Please allow me some time to consider it, and I will get back to you if I decide to purchase.",no,DEFERRED_CONSIDERATION,Ghoster,Smart Watch,General
10009,ENG_010,"[Buyer] hello there... hope you are doing great. is your honey genuinely sourced from Sundarbans?
 [Merchant] Hello! Oh absolutely, you are getting 100% pure Sundarbans honey here! Straight from the traditional mouals, harvested with utmost care!
 [Buyer] that is wonderful to hear... um, do you happen to have any official lab test certificate to show?
 [Merchant] Yes indeed, we are fully BSTI certified! Let me drop the certificate photo right into your chat right now so you can check it out!
 [Buyer] ok got it, thnx... um, how long will this actually last on the shelf?
 [Merchant] right it stays good for 2 years from production! Plus, this exact batch was bottled just last month, so it is super fresh and packed with all the goodness!
 [Buyer] ok, and how much for the 500g jar?
 [Merchant] just 450 taka! And the best part is, you get totally free delivery right inside Dhaka if you grab yours today!
 [Buyer] i see. let me talk it over with my wife first and then i will reach out again soon.
 [Merchant] Take all the time you need! Just keep in mind this particular batch is moving super fast and stock is quite limited!",no,DEFERRED_CONSIDERATION,Ghoster,Organic Honey,General
