global_index,turn_id,dialogue_id,turn_index,conversation_id,persuader_turn_index,n_turns_in_dialogue,annotator,strategies,categories,n_labels,flags,note,text
0,20180831-063536_532_live#t000,20180831-063536_532_live,0,2063,0,20,shimanto,,,0,empty_set,"Bare greeting, first turn. Guideline worked example -> empty.",Good morning
1,20180831-063536_532_live#t002,20180831-063536_532_live,2,2063,1,20,shimanto,organization_information,Information Provision,1,,,"We are seeking donations for the ""Save the Children"" foundation which helps support children rights to health, education, safety"
2,20180831-063536_532_live#t004,20180831-063536_532_live,4,2063,2,20,shimanto,organization_information|donation_procedure_information|minimization_framing,Framing and Presentation|Information Provision,3,,"Any little will help shrinks the ask; the $.01-$2.00 range is stated as mechanics, not pushed toward the top, so procedure and not anchoring.","The support will be going to developing countries to also provide relief , would you be interstedin making a donation? We accept from $ .01 to $2.00. Any little will help"
3,20180831-063536_532_live#t006,20180831-063536_532_live,6,2063,3,20,shimanto,donation_procedure_information|anchoring,Framing and Presentation|Information Provision,2,,"Confusion-table case: stating the range is procedure info, and our goal is the max of $2.00 also anchors.",How much would you like to donate? The minimum is $.01 and our goal is the max of $2.00
4,20180831-063536_532_live#t008,20180831-063536_532_live,8,2063,4,20,shimanto,gratitude_and_appreciation,Reciprocity and Exchange,1,,,Thank you very much for your donation!!
5,20180831-063536_532_live#t010,20180831-063536_532_live,10,2063,5,20,shimanto,gratitude_and_appreciation,Reciprocity and Exchange,1,,"Matches the gratitude cue almost verbatim (Thank you so much, you are helping many children) - one move, not gratitude plus impact.","You are helping many children with this donation, have a great day and THANK YOU again!!"
6,20180831-063536_532_live#t012,20180831-063536_532_live,12,2063,6,20,shimanto,minimization_framing|rapport_building,Framing and Presentation|Relational and Interactive,2,,Absolutly is agreement; ever bit helps minimises.,"Absolutly, ever bit helps"
7,20180831-063536_532_live#t014,20180831-063536_532_live,14,2063,7,20,shimanto,gratitude_and_appreciation,Reciprocity and Exchange,1,,,Save the Children would like to thank you for your donation
8,20180831-063536_532_live#t016,20180831-063536_532_live,16,2063,8,20,shimanto,emotion_appeal,Emotional Appeal,1,,"we need to help as much as possible is a soft moral statement, not obligation_pressure - refusal is never framed as illegitimate.","Yes, there is much lack of support in these countries and we need to help as mucha as possible"
9,20180831-063536_532_live#t018,20180831-063536_532_live,18,2063,9,20,shimanto,rapport_building,Relational and Interactive,1,,,"Yes, I agree as well, there needs to be more help from everybody"
10,20180831-081945_112_live#t000,20180831-081945_112_live,0,2083,0,20,shimanto,anchoring|emotion_appeal,Emotional Appeal|Framing and Presentation,2,,"Asking for all $2 sets the reference amount. millions is a distress claim rather than a concrete figure, so emotion_appeal not evidence_and_statistics.",Could you please donate all of your$2 to Save the Children? Hunger kills millions of children worldwide ever year.
11,20180831-081945_112_live#t002,20180831-081945_112_live,2,2083,1,20,shimanto,organizational_credibility|evidence_and_statistics,Rational Appeal|Credibility Appeal,2,,Guideline worked example.,Save the Children has been around since 1919 qng is top rated by Charity Watch.
12,20180831-081945_112_live#t004,20180831-081945_112_live,4,2083,2,20,shimanto,evidence_and_statistics|transparency_and_accountability,Rational Appeal|Credibility Appeal,2,,Guideline worked example.,"In fiscal year 2016, on average, 86.5% of all expenditures support program services. 86.5% is an average for all of Save the Children's programs worldwide."
13,20180831-081945_112_live#t006,20180831-081945_112_live,6,2083,3,20,shimanto,logical_appeal|comparison_framing,Rational Appeal|Framing and Presentation,2,,"Rebuttal on relative need; contrasts US with African children, i.e. another cause.","What makes American children more needy? To be honest, not having a cell phone is hardly poverty. American children are hardly in the situation that many African children are"
14,20180831-081945_112_live#t008,20180831-081945_112_live,8,2083,4,20,shimanto,minimization_framing|impact_information|comparison_framing,Framing and Presentation|Information Provision,3,,"17 cents feeds a child / 12 kids fed is concrete impact, so impact_information beats evidence_and_statistics under test 2. The Starbucks line is the comparison.",Why not be charitable to all? $2 is hardly a sum to argue about. 17 cents can feed child overseas. 12 kids could be fed today with that money. Hope didn't go to Starbucks today and get a $4 coffee. Now that's a corporate contribution.
15,20180831-081945_112_live#t010,20180831-081945_112_live,10,2083,5,20,shimanto,incremental_ask|rapport_building,Commitment and Consistency|Relational and Interactive,2,,"if $2 is too much, how about $1 matches the incremental_ask cue; the gun-rights aside builds warmth.","I'm not being a bully. Ok, if $2 is too much, how about $1? I'm with you on gun rights BTW."
16,20180831-081945_112_live#t012,20180831-081945_112_live,12,2083,6,20,shimanto,minimization_framing|rapport_building,Framing and Presentation|Relational and Interactive,2,,"same boat is common ground, not in_group_appeal - no shared identity is invoked as leverage.",I'm in the same boat. I need the money too. But it wouldn't hurt to give a little. MTurk doesn't exactly pay subsistence wages.
17,20180831-081945_112_live#t014,20180831-081945_112_live,14,2083,7,20,shimanto,rapport_building,Relational and Interactive,1,,"Own circumstance as common ground; not personal_story, which needs an anecdote about the cause.",I'm a retiree. Let's say Social Security isn't a treasure trove either.
18,20180831-081945_112_live#t016,20180831-081945_112_live,16,2083,8,20,shimanto,self_modeling,Social Influence,1,,,"Despite all, I will donating a dollar. I hope you do too."
19,20180831-081945_112_live#t018,20180831-081945_112_live,18,2083,9,20,shimanto,gratitude_and_appreciation,Reciprocity and Exchange,1,,,Thanks. I appreciate it.
20,20180831-211050_995_live#t000,20180831-211050_995_live,0,2103,0,21,shimanto,rapport_building,Relational and Interactive,1,,"Greeting plus an engaging question matches the rapport cue, so not the bare-greeting empty case.",Hello! How are you doing?
21,20180831-211050_995_live#t002,20180831-211050_995_live,2,2103,1,21,shimanto,rapport_building|personal_related_inquiry,Relational and Interactive,2,,,I am doing absolutely wonderful! Do you have any children or nieces\\nephews?
22,20180831-211050_995_live#t004,20180831-211050_995_live,4,2103,2,21,shimanto,personal_story,Relational and Interactive,1,,Autobiographical detail; the guideline treats i have 4 children of my own the same way.,I do I just had a beautiful little baby girl. She is now 1 month old.
23,20180831-211050_995_live#t006,20180831-211050_995_live,6,2103,3,21,shimanto,empathy_and_perspective_taking|organization_information,Emotional Appeal|Information Provision,2,,Own-child framing is treated as empathy_and_perspective_taking per the guideline worked example at index 29.,I was just leading into that. To be honest I could never imaging if anything happened to my daughter. And there are some non governmental organizations out there that help children like my daughter who are in trouble in developing countries. Would you like to know more about this organization?
24,20180831-211050_995_live#t008,20180831-211050_995_live,8,2103,4,21,shimanto,organization_information|personal_credibility,Credibility Appeal|Information Provision,2,,being a new father I know how vulnerable children are claims standing to speak.,This organization is called Save the Children. They provide relief and help support any child in need in developing countries. They go where they are needed. Personally I think this organization is needed especially being a new father I know how vulnerable children are now. And sometimes they just need help.
25,20180831-211050_995_live#t010,20180831-211050_995_live,10,2103,5,21,shimanto,rapport_building|organization_information|personal_related_inquiry,Information Provision|Relational and Interactive,3,,,Absolutely! I can attest to that! Organizations like this primarily operate off of donations. Have ever contributed to non profit organizations?
26,20180831-211050_995_live#t012,20180831-211050_995_live,12,2103,6,21,shimanto,rapport_building,Relational and Interactive,1,,,I know what you mean! sometimes it is hard to find the extra time or money to help those that need it.
27,20180831-211050_995_live#t014,20180831-211050_995_live,14,2103,7,21,shimanto,donation_procedure_information,Information Provision,1,,Ask tied to the $2 HIT bonus mechanism.,Would you be willing to entertain the idea of donating some or all of the 2 dollar bonus received by completing this hit?
28,20180831-211050_995_live#t016,20180831-211050_995_live,16,2103,8,21,shimanto,rapport_building|minimization_framing|self_modeling|logical_appeal,Rational Appeal|Social Influence|Framing and Presentation|Relational and Interactive,4,,Four distinct clauses. those tiny amounts add up matches the logical_appeal cue exactly.,I absolutely do. Even the smallest amount would go a long way in helping this organization. I was thinking of doing even .15 of my bonus to this organization. That way I still get a majority of my bonus and hopefully others will donate as well so those tiny amounts add up so something of value for Save the Children.
